tip_label,species,action
Poa_supina_289064_PHA006868_BGN_FCB,Poa_supina,direct match
Poa_stiriaca_368389_PHA006866_BGN_CPE,Poa_stiriaca,direct match
Poa_minor_1395551_PHA006853_BGN_BPA,Poa_minor,direct match
Poa_laxa_269370_PHA006848_BGN_FCA,Poa_laxa,direct match
Poa_hybrida_289070_PHA006847_BGN_GNV,Poa_hybrida,direct match
Poa_compressa_269373_PHA006840_BGN_BNV,Poa_compressa,direct match
Poa_chaixii_269367_TROM_V_130692_BXA_CAS,Poa_chaixii,direct match
Poa_cenisia_269372_PHA006834_BGN_PYY,Poa_cenisia,direct match
Poa_annua_93036_PHA006826_BGN_EH,Poa_annua,direct match
Pleurospermum_austriacum_584760_PHA006818_BGN_GHH,Pleurospermum_austriacum,direct match
Platanthera_chlorantha_59353_PHA006813_RSZ_RSZAXPI001139-102,Platanthera_chlorantha,direct match
Platanthera_bifolia_431291_PHA006811_BGN_KRA,Platanthera_bifolia,direct match
Plantago_media_101992_PHA006808_BGN_ACP,Plantago_media,direct match
Plantago_major_29818_TROM_V_966314_BMB_NQ,Plantago_major,direct match
Plantago_lanceolata_39414_PHA006798_BGN_ABR,Plantago_lanceolata,direct match
Plantago_atrata_atrata_101997_PHA006784_BGN_BNS,Plantago_atrata,direct match
Plantago_alpina_197791_PHA006774_BGN_AEG,Plantago_alpina,direct match
Pinguicula_vulgaris_204362_PHA006739_BGN_FHH,Pinguicula_vulgaris,direct match
Pinguicula_leptoceras_204354_PHA006731_BGN_GQA,Pinguicula_leptoceras,direct match
Pinguicula_alpina_192263_PHA006724_BGN_KKD,Pinguicula_alpina,direct match
Pimpinella_saxifraga_40959_PHA006721_BGN_AIE,Pimpinella_saxifraga,direct match
Pimpinella_major_1000425_PHA006715_BGN_ACN,Pimpinella_major,direct match
